colour	x	y	showSelectedlegendcolour	fill
#A3A500	0	42	1	#A3A500
#A3A500	2	51	1	#A3A500
#A3A500	4	59	1	#A3A500
#A3A500	6	64	1	#A3A500
#A3A500	8	76	1	#A3A500
#A3A500	10	93	1	#A3A500
#A3A500	12	106	1	#A3A500
#A3A500	14	125	1	#A3A500
#A3A500	16	149	1	#A3A500
#A3A500	18	171	1	#A3A500
#A3A500	20	199	1	#A3A500
#A3A500	21	205	1	#A3A500
#39B600	0	40	2	#39B600
#39B600	2	49	2	#39B600
#39B600	4	58	2	#39B600
#39B600	6	72	2	#39B600
#39B600	8	84	2	#39B600
#39B600	10	103	2	#39B600
#39B600	12	122	2	#39B600
#39B600	14	138	2	#39B600
#39B600	16	162	2	#39B600
#39B600	18	187	2	#39B600
#39B600	20	209	2	#39B600
#39B600	21	215	2	#39B600
#D89000	0	43	3	#D89000
#D89000	2	39	3	#D89000
#D89000	4	55	3	#D89000
#D89000	6	67	3	#D89000
#D89000	8	84	3	#D89000
#D89000	10	99	3	#D89000
#D89000	12	115	3	#D89000
#D89000	14	138	3	#D89000
#D89000	16	163	3	#D89000
#D89000	18	187	3	#D89000
#D89000	20	198	3	#D89000
#D89000	21	202	3	#D89000
#F8766D	0	42	4	#F8766D
#F8766D	2	49	4	#F8766D
#F8766D	4	56	4	#F8766D
#F8766D	6	67	4	#F8766D
#F8766D	8	74	4	#F8766D
#F8766D	10	87	4	#F8766D
#F8766D	12	102	4	#F8766D
#F8766D	14	108	4	#F8766D
#F8766D	16	136	4	#F8766D
#F8766D	18	154	4	#F8766D
#F8766D	20	160	4	#F8766D
#F8766D	21	157	4	#F8766D
#00BF7D	0	41	5	#00BF7D
#00BF7D	2	42	5	#00BF7D
#00BF7D	4	48	5	#00BF7D
#00BF7D	6	60	5	#00BF7D
#00BF7D	8	79	5	#00BF7D
#00BF7D	10	106	5	#00BF7D
#00BF7D	12	141	5	#00BF7D
#00BF7D	14	164	5	#00BF7D
#00BF7D	16	197	5	#00BF7D
#00BF7D	18	199	5	#00BF7D
#00BF7D	20	220	5	#00BF7D
#00BF7D	21	223	5	#00BF7D
#FF62BC	0	40	21	#FF62BC
#FF62BC	2	50	21	#FF62BC
#FF62BC	4	62	21	#FF62BC
#FF62BC	6	86	21	#FF62BC
#FF62BC	8	125	21	#FF62BC
#FF62BC	10	163	21	#FF62BC
#FF62BC	12	217	21	#FF62BC
#FF62BC	14	240	21	#FF62BC
#FF62BC	16	275	21	#FF62BC
#FF62BC	18	307	21	#FF62BC
#FF62BC	20	318	21	#FF62BC
#FF62BC	21	331	21	#FF62BC
#00B0F6	0	41	22	#00B0F6
#00B0F6	2	55	22	#00B0F6
#00B0F6	4	64	22	#00B0F6
#00B0F6	6	77	22	#00B0F6
#00B0F6	8	90	22	#00B0F6
#00B0F6	10	95	22	#00B0F6
#00B0F6	12	108	22	#00B0F6
#00B0F6	14	111	22	#00B0F6
#00B0F6	16	131	22	#00B0F6
#00B0F6	18	148	22	#00B0F6
#00B0F6	20	164	22	#00B0F6
#00B0F6	21	167	22	#00B0F6
#9590FF	0	43	23	#9590FF
#9590FF	2	52	23	#9590FF
#9590FF	4	61	23	#9590FF
#9590FF	6	73	23	#9590FF
#9590FF	8	90	23	#9590FF
#9590FF	10	103	23	#9590FF
#9590FF	12	127	23	#9590FF
#9590FF	14	135	23	#9590FF
#9590FF	16	145	23	#9590FF
#9590FF	18	163	23	#9590FF
#9590FF	20	170	23	#9590FF
#9590FF	21	175	23	#9590FF
#00BFC4	0	42	24	#00BFC4
#00BFC4	2	52	24	#00BFC4
#00BFC4	4	58	24	#00BFC4
#00BFC4	6	74	24	#00BFC4
#00BFC4	8	66	24	#00BFC4
#00BFC4	10	68	24	#00BFC4
#00BFC4	12	70	24	#00BFC4
#00BFC4	14	71	24	#00BFC4
#00BFC4	16	72	24	#00BFC4
#00BFC4	18	72	24	#00BFC4
#00BFC4	20	76	24	#00BFC4
#00BFC4	21	74	24	#00BFC4
#E76BF3	0	40	25	#E76BF3
#E76BF3	2	49	25	#E76BF3
#E76BF3	4	62	25	#E76BF3
#E76BF3	6	78	25	#E76BF3
#E76BF3	8	102	25	#E76BF3
#E76BF3	10	124	25	#E76BF3
#E76BF3	12	146	25	#E76BF3
#E76BF3	14	164	25	#E76BF3
#E76BF3	16	197	25	#E76BF3
#E76BF3	18	231	25	#E76BF3
#E76BF3	20	259	25	#E76BF3
#E76BF3	21	265	25	#E76BF3
